wildcard;diameter;left_pair;right_pair
microsoft.advisor/*uppressions/delete;2;microsoft/advisor/recommendations/suppressions/delete;microsoft/advisor/suppressions/delete
microsoft.advisor/*;2;microsoft/advisor/advisorscore/read;microsoft/advisor/assessmenttypes/read
microsoft.advisor/*ssions/write;2;microsoft/advisor/recommendations/suppressions/write;microsoft/advisor/suppressions/write
microsoft.advisor/*tions/write;2;microsoft/advisor/configurations/write;microsoft/advisor/recommendations/write
microsoft.advisor/re*/action;2;microsoft/advisor/recommendations/available/action;microsoft/advisor/register/action
microsoft.advisor/re*/read;2;microsoft/advisor/recommendations/read;microsoft/advisor/resiliencyreviews/read
microsoft.advisor/*ressions/delete;2;microsoft/advisor/recommendations/suppressions/delete;microsoft/advisor/suppressions/delete
microsoft.advisor/*uppressions/read;2;microsoft/advisor/recommendations/suppressions/read;microsoft/advisor/suppressions/read
microsoft.advisor/*sions/write;2;microsoft/advisor/recommendations/suppressions/write;microsoft/advisor/suppressions/write
microsoft.adviso*e/action;2;microsoft/advisor/recommendations/available/action;microsoft/advisor/triagerecommendations/approve/action
microsoft.advis*tions/read;2;microsoft/advisor/configurations/read;microsoft/advisor/generaterecommendations/read
microsoft.advisor/*/action;2;microsoft/advisor/generaterecommendations/action;microsoft/advisor/recommendations/available/action
microsoft.advi*/action;2;microsoft/advisor/generaterecommendations/action;microsoft/advisor/recommendations/available/action
microsoft.advisor*/read;2;microsoft/advisor/advisorscore/read;microsoft/advisor/assessmenttypes/read
microsoft.advisor*/action;2;microsoft/advisor/generaterecommendations/action;microsoft/advisor/recommendations/available/action
microsoft.advisor/*;2;microsoft/advisor/advisorscore/read;microsoft/advisor/assessmenttypes/read
microsoft.agfoodplatform/*;2;microsoft/agfoodplatform/checknameavailability/action;microsoft/agfoodplatform/farmbeats/dataconnectors/delete
microsoft.agfoodplatform/farmbeats/*/delete;3;microsoft/agfoodplatform/farmbeats/dataconnectors/delete;microsoft/agfoodplatform/farmbeats/eventgridfilters/delete
microsoft.agfoodplatform/farmbeats*/read;2;microsoft/agfoodplatform/farmbeats/dataconnectors/read;microsoft/agfoodplatform/farmbeatsextensiondefinitions/read
microsoft.agfoodplatform/*;2;microsoft/agfoodplatform/checknameavailability/action;microsoft/agfoodplatform/farmbeats/dataconnectors/delete
microsoft.agfoodplatform/farmbea*/delete;3;microsoft/agfoodplatform/farmbeats/dataconnectors/delete;microsoft/agfoodplatform/farmbeats/delete
microsoft.agfoodplatform/*;2;microsoft/agfoodplatform/checknameavailability/action;microsoft/agfoodplatform/farmbeats/dataconnectors/delete
microsoft.agfoodplatform/far*s/read;2;microsoft/agfoodplatform/farmbeats/dataconnectors/read;microsoft/agfoodplatform/farmbeatsextensiondefinitions/read
microsoft.agfoodplatform/*;2;microsoft/agfoodplatform/checknameavailability/action;microsoft/agfoodplatform/farmbeats/dataconnectors/delete
microsoft.agfoodplatform/*;2;microsoft/agfoodplatform/checknameavailability/action;microsoft/agfoodplatform/farmbeats/dataconnectors/delete
microsoft.agfoodplatform/farm*s/read;2;microsoft/agfoodplatform/farmbeats/dataconnectors/read;microsoft/agfoodplatform/farmbeatsextensiondefinitions/read
microsoft.agfoodplatform/*;2;microsoft/agfoodplatform/checknameavailability/action;microsoft/agfoodplatform/farmbeats/dataconnectors/delete
microsoft.agfoodplatform/*;2;microsoft/agfoodplatform/checknameavailability/action;microsoft/agfoodplatform/farmbeats/dataconnectors/delete
microsoft.agfoodplatform/farmbea*s/read;2;microsoft/agfoodplatform/farmbeats/dataconnectors/read;microsoft/agfoodplatform/farmbeatsextensiondefinitions/read
microsoft.agfoodplatform/fa*/read;2;microsoft/agfoodplatform/farmbeats/dataconnectors/read;microsoft/agfoodplatform/farmbeatsextensiondefinitions/read
microsoft.agfoodplatform/farmbeats/privateendpointconnectionproxies/validate/action;;microsoft.agfoodplatform/farmbeats/privateendpointconnectionproxies/validate/action;microsoft.agfoodplatform/farmbeats/privateendpointconnectionproxies/validate/action
microsoft.agfoodplatform/*;2;microsoft/agfoodplatform/checknameavailability/action;microsoft/agfoodplatform/farmbeats/dataconnectors/delete
microsoft.agfoodplatform/*;2;microsoft/agfoodplatform/checknameavailability/action;microsoft/agfoodplatform/farmbeats/dataconnectors/delete
microsoft.agfoodplatform/farmbea*ons/read;2;microsoft/agfoodplatform/farmbeats/extensions/read;microsoft/agfoodplatform/farmbeatsextensiondefinitions/read
microsoft.agfoodplatform/farmbe*/write;3;microsoft/agfoodplatform/farmbeats/dataconnectors/write;microsoft/agfoodplatform/farmbeats/eventgridfilters/write
