wildcard;diameter;left_pair;right_pair
microsoft.avs/privateclouds/*/read;3;microsoft/avs/privateclouds/addons/operationstatuses/read;microsoft/avs/privateclouds/authorizations/read
microsoft.avs/privateclouds/*/write;3;microsoft/avs/privateclouds/addons/write;microsoft/avs/privateclouds/authorizations/write
microsoft.avs/privatecloud*s/delete;3;microsoft/avs/privateclouds/addons/delete;microsoft/avs/privateclouds/authorizations/delete
microsoft.avs/privateclouds/*/read;3;microsoft/avs/privateclouds/addons/operationstatuses/read;microsoft/avs/privateclouds/authorizations/read
microsoft.avs/*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/priva*s/write;3;microsoft/avs/privateclouds/addons/write;microsoft/avs/privateclouds/authorizations/write
microsoft.avs/privateclouds/workloadnetworks/*s/delete;4;microsoft/avs/privateclouds/workloadnetworks/dhcpconfigurations/delete;microsoft/avs/privateclouds/workloadnetworks/dnsservices/delete
microsoft.avs/privateclouds*/read;3;microsoft/avs/privateclouds/addons/operationstatuses/read;microsoft/avs/privateclouds/authorizations/read
microsoft.avs/privateclouds/*s/read;3;microsoft/avs/privateclouds/addons/operationstatuses/read;microsoft/avs/privateclouds/authorizations/read
microsoft.avs/pri*es/write;3;microsoft/avs/privateclouds/clusters/datastores/write;microsoft/avs/privateclouds/hcxenterprisesites/write
microsoft.avs/privateclouds*/read;3;microsoft/avs/privateclouds/addons/operationstatuses/read;microsoft/avs/privateclouds/authorizations/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/privat*ionstatuses/read;3;microsoft/avs/privateclouds/addons/operationstatuses/read;microsoft/avs/privateclouds/clusters/datastores/operationstatuses/read
microsoft.avs/privateclouds/worklo*es/read;4;microsoft/avs/privateclouds/workloadnetworks/dhcpconfigurations/operationstatuses/read;microsoft/avs/privateclouds/workloadnetworks/dnsservices/operationstatuses/read
microsoft.avs*s/write;3;microsoft/avs/privateclouds/addons/write;microsoft/avs/privateclouds/authorizations/write
microsoft.avs/privateclouds/*/delete;3;microsoft/avs/privateclouds/addons/delete;microsoft/avs/privateclouds/authorizations/delete
microsoft.avs/privateclouds/*tionstatuses/read;3;microsoft/avs/privateclouds/addons/operationstatuses/read;microsoft/avs/privateclouds/clusters/datastores/operationstatuses/read
microsoft.avs/privateclouds/workloadnetwor*/read;4;microsoft/avs/privateclouds/workloadnetworks/dhcpconfigurations/operationstatuses/read;microsoft/avs/privateclouds/workloadnetworks/dnsservices/operationstatuses/read
microsoft.avs/privateclouds/*s/write;3;microsoft/avs/privateclouds/addons/write;microsoft/avs/privateclouds/authorizations/write
microsoft.avs/privateclouds/workloadnetworks/virtualmachines/read;;microsoft.avs/privateclouds/workloadnetworks/virtualmachines/read;microsoft.avs/privateclouds/workloadnetworks/virtualmachines/read
microsoft.avs/privateclouds/workloadnetworks/vmgroups/delete;;microsoft.avs/privateclouds/workloadnetworks/vmgroups/delete;microsoft.avs/privateclouds/workloadnetworks/vmgroups/delete
microsoft.avs/privateclouds*operationstatuses/read;3;microsoft/avs/privateclouds/addons/operationstatuses/read;microsoft/avs/privateclouds/clusters/datastores/operationstatuses/read
microsoft.avs/privateclouds/workloadnetwork*/read;4;microsoft/avs/privateclouds/workloadnetworks/dhcpconfigurations/operationstatuses/read;microsoft/avs/privateclouds/workloadnetworks/dnsservices/operationstatuses/read
microsoft.avs/privateclouds/workloadnetworks/*;4;microsoft/avs/privateclouds/workloadnetworks/dhcpconfigurations/delete;microsoft/avs/privateclouds/workloadnetworks/dnsservices/delete
microsoft.avs/privatecloud*/write;3;microsoft/avs/privateclouds/addons/write;microsoft/avs/privateclouds/authorizations/write
microsoft.avs/privatecloud*erationresults/read;3;microsoft/avs/privateclouds/operationresults/read;microsoft/avs/privateclouds/clusters/datastores/operationresults/read
microsoft.avs/privateclou*onresults/read;3;microsoft/avs/privateclouds/operationresults/read;microsoft/avs/privateclouds/clusters/datastores/operationresults/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*gister/action;2;microsoft/avs/privateclouds/register/action;microsoft/avs/register/action
microsoft.aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/delete;;microsoft.aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/delete;microsoft.aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/delete
microsoft.aadcustomsecurityattributesdiagnosticsettings/diagnosticsetti*s/read;2;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/read;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettingscategories/read
microsoft.aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/write;;microsoft.aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/write;microsoft.aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/write
microsoft.aadcustomsecurityattributesdiagnosticsettings/diagnosticsetting*/read;2;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/read;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettingscategories/read
microsoft.addons/*/read;2;microsoft/addons/operations/read;microsoft/addons/supportproviders/supportplantypes/read
microsoft.addons/*;2;microsoft/addons/operations/read;microsoft/addons/register/action
microsoft.addons/supportproviders/listsupportplaninfo/action;;microsoft.addons/supportproviders/listsupportplaninfo/action;microsoft.addons/supportproviders/listsupportplaninfo/action
microsoft.addons/supportproviders/supportplantypes/delete;;microsoft.addons/supportproviders/supportplantypes/delete;microsoft.addons/supportproviders/supportplantypes/delete
microsoft.addons/supportproviders/supportplantypes/read;;microsoft.addons/supportproviders/supportplantypes/read;microsoft.addons/supportproviders/supportplantypes/read
microsoft.addons/supportproviders/supportplantypes/write;;microsoft.addons/supportproviders/supportplantypes/write;microsoft.addons/supportproviders/supportplantypes/write
microsoft.advi*/read;2;microsoft/advisor/advisorscore/read;microsoft/advisor/assessmenttypes/read
microsoft.advisor/assessmen*s/read;2;microsoft/advisor/assessmenttypes/read;microsoft/advisor/assessments/read
microsoft.advisor/assessment*/read;2;microsoft/advisor/assessmenttypes/read;microsoft/advisor/assessments/read
microsoft.advisor/assessments/write;;microsoft.advisor/assessments/write;microsoft.advisor/assessments/write
microsoft.advisor*ons/read;2;microsoft/advisor/configurations/read;microsoft/advisor/generaterecommendations/read
microsoft.advisor*tions/write;2;microsoft/advisor/configurations/write;microsoft/advisor/recommendations/write
microsoft.advisor/generaterecommendations/action;;microsoft.advisor/generaterecommendations/action;microsoft.advisor/generaterecommendations/action
microsoft.advis*mmendations/read;2;microsoft/advisor/generaterecommendations/read;microsoft/advisor/recommendations/read
microsoft.advisor/*/read;2;microsoft/advisor/advisorscore/read;microsoft/advisor/assessmenttypes/read
microsoft.advisor/*ions/read;2;microsoft/advisor/configurations/read;microsoft/advisor/generaterecommendations/read
microsoft.advisor/recommendations/available/action;;microsoft.advisor/recommendations/available/action;microsoft.advisor/recommendations/available/action
microsoft.advisor/*ons/read;2;microsoft/advisor/configurations/read;microsoft/advisor/generaterecommendations/read
microsoft.advisor*uppressions/delete;2;microsoft/advisor/recommendations/suppressions/delete;microsoft/advisor/suppressions/delete
microsoft.advisor/*s/read;2;microsoft/advisor/assessmenttypes/read;microsoft/advisor/assessments/read
microsoft.advisor*essions/write;2;microsoft/advisor/recommendations/suppressions/write;microsoft/advisor/suppressions/write
microsoft.advisor*ons/write;2;microsoft/advisor/configurations/write;microsoft/advisor/recommendations/suppressions/write
microsoft.advisor/*ter/action;2;microsoft/advisor/register/action;microsoft/advisor/unregister/action
microsoft.advisor*/read;2;microsoft/advisor/advisorscore/read;microsoft/advisor/assessmenttypes/read
microsoft.advisor/*;2;microsoft/advisor/advisorscore/read;microsoft/advisor/assessmenttypes/read
microsoft.advisor/*ssions/read;2;microsoft/advisor/recommendations/suppressions/read;microsoft/advisor/suppressions/read
microsoft.adviso*ppressions/write;2;microsoft/advisor/recommendations/suppressions/write;microsoft/advisor/suppressions/write
microsoft.advisor/triagerecommendations/approve/action;;microsoft.advisor/triagerecommendations/approve/action;microsoft.advisor/triagerecommendations/approve/action
microsoft.advisor/*mmendations/read;2;microsoft/advisor/generaterecommendations/read;microsoft/advisor/recommendations/read
microsoft.advisor/triagerecommend*t/action;3;microsoft/advisor/triagerecommendations/reject/action;microsoft/advisor/triagerecommendations/reset/action
microsoft.advisor*/action;2;microsoft/advisor/generaterecommendations/action;microsoft/advisor/recommendations/available/action
microsoft.advisor/triage*s/read;2;microsoft/advisor/triagerecommendations/read;microsoft/advisor/triageresources/read
microsoft.advisor*gister/action;2;microsoft/advisor/register/action;microsoft/advisor/unregister/action
microsoft.adviso*/read;2;microsoft/advisor/advisorscore/read;microsoft/advisor/assessmenttypes/read
